"","SEXO","EDAD","NACIO","RAMA","T_UNIV","DISCA","LUG_RES_PAIS","PAIS_NAC_PADRE","ESTUDIOS_PADRE","PAIS_NAC_MADRE","ESTUDIOS_MADRE","BECA","EXTRANJERO","MOTIVO","VOLVERIA","MISMA_CARRERA","OTRO_GRADO","MASTER","DOCTORADO","EST_ARTIST","CICLO_SUP","CICLO_MED","OTROS_EST","NUM_EST","IDIOMAS","TECH","MV_ESP","MV_FUE","SIT_LABORAL","SIT_PROFESIONAL","TR_SUELDO","FORMAC_TR","RAMA_TR","USO_ESTUD_TR","F_TEOR_TR","F_PRAC_TR","F_IDIOM_TR","F_TECH_TR","F_PERSON_TR","F_GEST_TR","OTRO_TRAB","EST_CIVIL","HOGAR","EMPLEADO_PRODUCTIVO"
"43","H","2_30-34","E","CCSS","PuP","No","E","E","8_U","E","7_PS","Si","No","L","Si","Si","Si","No","No","No","No","No","Si","1","1","3_A","No","No","E","TT","1_<700","7","No","No","1","1","1","1","3","2","Si","1_S","4_PcH","No"
"44","M","2_30-34","E","CCSS","PuP","No","E","E","8_U","E","3_PC","Si","No","P","Si","Si","Si","No","No","No","No","No","Si","1","0","2_M","Si","No","E","TP","4_1500-1999","1","Si","Si","4","5","3","4","5","4","No","1_S","5_Otr","Si"
"45","M","2_30-34","E","CCSS","PuP","No","E","E","4_S","E","4_S","No","No","L","Si","Si","Si","No","No","No","No","No","Si","1","1","2_M","No","No","E","TP","4_1500-1999","3","Si","Si","4","5","2","4","5","5","No","1_S","3_PsH","Si"
"46","M","2_30-34","E","CCSS","PuP","No","E","E","3_PC","E","3_PC","Si","No","L","Si","Si","Si","No","No","No","No","No","Si","1","1","2_M","No","No","E","TP","3_1000-1499","3","Si","Si","4","5","4","4","5","4","No","2_C","3_PsH","Si"
"47","M","3_>=35","E","CCSS","PuP","No","E","O","8_U","O","8_U","No","No","L","Si","No","Si","No","No","No","No","No","Si","1","2","2_M","No","No","I","D","0_D","0","D","D","0","0","0","0","0","0","D","2_C","3_PsH","No"
"48","M","1_<30","E","CCSS","PuP","No","E","E","6_PM","E","4_S","No","No","L","Si","Si","Si","Si","No","No","No","No","Si","1","1","2_M","No","No","E","P","4_1500-1999","3","Si","Si","5","5","2","2","5","5","No","4_SE","5_Otr","Si"
"49","M","1_<30","E","CCSS","PuP","No","E","E","8_U","E","5_B","No","No","L","Si","Si","No","Si","No","No","No","No","Si","0","1","2_M","No","No","E","TP","4_1500-1999","2","Si","No","3","5","1","4","5","5","No","1_S","4_PcH","No"
"50","M","1_<30","E","CCSS","PuP","No","E","E","3_PC","E","3_PC","Si","No","P","No","No","Si","No","No","No","No","No","Si","1","1","2_M","No","No","E","TP","3_1000-1499","4","No","Si","3","5","2","1","5","5","Si","1_S","1_UNI","No"
"51","M","2_30-34","E","CCSS","PuP","No","E","E","3_PC","E","2_PI","Si","No","L","Si","Si","Si","No","No","No","Si","No","Si","1","1","2_M","No","No","E","TT","5_2000-2499","3","Si","Si","4","5","3","4","5","5","Si","1_S","3_PsH","Si"
"52","M","2_30-34","E","CCSS","PuP","No","E","E","3_PC","E","3_PC","No","No","L","Si","Si","No","No","No","No","No","No","No","0","3","2_M","No","No","D","D","0_D","0","D","D","0","0","0","0","0","0","D","2_C","4_PcH","No"
"53","H","3_>=35","E","CCSS","PuP","No","E","E","3_PC","E","3_PC","No","No","P","Si","Si","Si","No","No","No","No","No","Si","1","3","2_M","No","No","E","TP","4_1500-1999","3","Si","Si","5","5","4","4","5","5","No","1_S","3_PsH","Si"
"54","H","3_>=35","E","CCSS","PuP","No","E","E","3_PC","E","2_PI","No","No","L","Si","Si","Si","No","No","No","No","No","Si","1","0","2_M","No","No","E","TT","4_1500-1999","3","Si","Si","2","5","2","5","5","5","No","2_C","3_PsH","Si"
"55","M","3_>=35","E","CCSS","PuP","No","E","E","3_PC","E","7_PS","No","No","L","Si","Si","Si","No","No","No","No","No","Si","1","1","1_B","No","No","E","TP","4_1500-1999","3","No","No","4","2","1","3","4","4","No","1_S","4_PcH","No"
"56","M","1_<30","E","CCSS","PuP","No","O","E","7_PS","E","7_PS","No","No","O","Si","Si","No","Si","No","No","No","No","Si","0","2","2_M","Si","Si","E","TP","3_1000-1499","3","Si","Si","4","5","5","4","5","4","Si","1_S","5_Otr","Si"
"57","M","1_<30","E","CCSS","PuP","No","E","E","6_PM","E","6_PM","Si","No","L","No","No","No","No","No","No","Si","No","Si","0","1","2_M","No","No","I","D","0_D","0","D","D","0","0","0","0","0","0","D","1_S","5_Otr","No"
"58","M","1_<30","E","CCSS","PuP","No","O","E","6_PM","E","4_S","Si","No","O","Si","Si","No","No","No","No","No","No","No","0","1","2_M","Si","Si","E","TP","3_1000-1499","3","No","Si","5","4","4","4","5","5","No","1_S","5_Otr","No"
"59","H","2_30-34","E","CCSS","PuP","No","E","E","3_PC","E","5_B","Si","No","L","No","No","No","No","No","No","No","No","No","0","0","1_B","No","No","E","TP","2_700-999","4","No","Si","5","4","2","3","5","5","No","1_S","4_PcH","No"
"60","M","2_30-34","E","CCSS","PuP","No","E","E","4_S","E","5_B","Si","No","O","Si","Si","Si","No","No","No","No","No","Si","1","1","1_B","No","No","E","TP","3_1000-1499","4","Si","Si","3","4","2","2","4","4","No","2_C","3_PsH","Si"
"61","M","2_30-34","E","CCSS","PuP","No","E","E","3_PC","E","3_PC","No","No","L","Si","No","No","No","No","No","No","No","No","0","1","2_M","No","Si","E","TP","1_<700","5","No","No","1","2","3","4","5","5","No","1_S","5_Otr","No"
"62","M","3_>=35","E","CCSS","PuP","No","E","E","7_PS","E","4_S","No","No","P","Si","No","Si","No","No","No","Si","No","Si","1","1","2_M","No","No","E","TP","4_1500-1999","3","Si","Si","4","3","1","4","4","4","No","2_C","4_PcH","Si"
"63","M","1_<30","E","CCSS","PuP","No","E","E","4_S","E","4_S","No","No","L","Si","No","No","Si","No","No","No","No","Si","0","1","1_B","No","No","E","TT","3_1000-1499","2","Si","Si","3","5","2","1","4","3","No","1_S","3_PsH","Si"
"64","M","1_<30","O","CCSS","PuP","No","E","E","4_S","E","7_PS","Si","No","L","No","No","No","No","No","No","Si","No","Si","0","0","2_M","No","No","E","TP","1_<700","4","Si","Si","4","4","2","2","5","5","Si","1_S","4_PcH","Si"
"65","M","1_<30","E","CCSS","PuP","No","E","E","7_PS","E","4_S","No","Si","L","Si","Si","Si","Si","No","No","No","No","Si","2","1","2_M","Si","No","E","TT","1_<700","4","No","No","4","5","5","2","5","5","Si","1_S","3_PsH","No"
"66","M","1_<30","E","CCSS","PuP","No","E","E","5_B","E","5_B","Si","No","L","Si","No","No","Si","No","No","No","No","Si","0","1","1_B","No","No","E","TP","2_700-999","5","No","No","3","4","1","3","5","4","Si","1_S","5_Otr","No"
"67","H","2_30-34","E","CCSS","PuP","No","E","E","7_PS","E","7_PS","Si","Si","L","Si","No","No","No","No","No","No","No","No","0","1","1_B","No","No","E","TP","2_700-999","3","Si","Si","4","5","2","3","4","5","Si","1_S","3_PsH","Si"
"68","M","3_>=35","E","CCSS","PuP","No","E","E","3_PC","E","3_PC","No","No","P","Si","Si","Si","No","No","No","Si","Si","Si","1","1","2_M","No","No","E","TP","4_1500-1999","3","Si","Si","4","5","2","4","5","5","No","2_C","4_PcH","Si"
